_NAME_,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
MCDonalds,5,4,6,6,5,5,6,6,2,6,6,7,3,7,3,7,6,3,2,4,1,5,7,4,4,7,5,5,3,6,5,7,5,6
KFC,4,5,3,4,4,4,6,5,1,5,4,7,3,7,4,5,4,1,4,4,2,2,4,3,3,2,5,2,2,4,5,6,6,3
BurgerKing,7,6,3,6,3,3,6,5,1,4,3,7,2,7,1,5,6,6,3,2,4,4,6,2,2,5,5,6,2,7,6,3,3,1
Marrybrown,3,7,3,3,2,1,3,5,1,2,1,5,1,5,3,5,3,2,1,4,3,3,1,1,1,1,4,1,2,1,5,1,3,2
ShakeShack,3,1,7,7,6,7,6,7,4,7,7,5,4,5,3,6,7,7,7,5,1,6,5,7,6,4,5,7,2,5,7,5,7,5
MOSBurger,1,2,3,2,2,2,3,7,1,1,2,5,2,5,3,5,2,5,5,5,4,1,3,5,7,3,4,3,1,3,5,2,4,7
FiveGuys,6,3,3,6,2,6,7,6,2,3,5,5,3,5,3,7,6,4,6,4,4,7,2,6,5,6,3,4,4,2,5,4,3,4
